ID;CODE;NAME
1;A01.01.001;Сбор анамнеза и жалоб в дерматологии
2;A01.01.001.001;Сбор анамнеза и жалоб при термических, химических и электрических ожогах
3;A01.01.002;Визуальное исследование в дерматологии
4;A01.01.002.001;Визуальное исследование при термических, химических и электрических ожогах
5;A01.01.003;Пальпация в дерматологии
6;A01.01.003.001;Пальпация при термических, химических и электрических ожогах
7;A01.01.004;Сбор анамнеза и жалоб в косметологии
8;A01.01.005;Определение дермографизма
9;A01.02.001;Сбор анамнеза и жалоб при заболеваниях мышц
10;A01.02.002;Визуальное исследование мышц
11;A01.02.003;Пальпация мышц
12;A01.03.001;Сбор анамнеза и жалоб при патологии костной системы
13;A01.03.002;Визуальное исследование костной системы
14;A01.03.003;Пальпация костной системы
15;A01.03.004;Перкуссия костной системы
16;A01.04.001;Сбор анамнеза и жалоб при патологии суставов
17;A01.04.002;Визуальное исследование суставов
18;A01.04.003;Пальпация суставов
19;A01.04.004;Перкуссия суставов
20;A01.05.001;Сбор анамнеза и жалоб при заболеваниях органов кроветворения и крови
21;A01.05.002;Визуальное исследование при заболеваниях органов кроветворения и крови
22;A01.05.003;Пальпация при заболеваниях органов кроветворения и крови
23;A01.05.004;Перкуссия при заболеваниях органов кроветворения и крови
24;A01.06.001;Сбор анамнеза и жалоб при патологии органов иммунной системы
25;A01.06.002;Визуальное исследование при патологии органов иммунной системы
26;A01.06.003;Пальпация при патологии органов иммунной системы
27;A01.07.001;Сбор анамнеза и жалоб при патологии полости рта
28;A01.07.001.001;Сбор анамнеза и жалоб при патологии полости рта, включая черепно-челюстно-лицевой области
29;A01.07.002;Визуальное исследование при патологии полости рта
30;A01.07.002.001;Визуальное исследование при патологии полости рта, включая черепно-челюстно-лицевой области
31;A01.07.003;Пальпация органов полости рта
32;A01.07.003.001;Пальпация при патологии полости рта, включая черепно-челюстно-лицевой области
33;A01.07.004;Перкуссия при патологии полости рта
34;A01.07.004.001;Перкуссия при патологии полости рта, включая черепно-челюстно-лицевой области
35;A01.07.005;Внешний осмотр челюстно-лицевой области
36;A01.07.006;Пальпация челюстно-лицевой области
37;A01.07.007;Определение степени открывания рта и ограничения подвижности нижней челюсти
38;A01.08.001;Сбор анамнеза и жалоб при заболеваниях верхних дыхательных путей
39;A01.08.002;Визуальное исследование верхних дыхательных путей
40;A01.08.003;Пальпация при заболеваниях верхних дыхательных путей
41;A01.08.004;Перкуссия при заболеваниях верхних дыхательных путей
42;A01.09.001;Сбор анамнеза и жалоб при заболеваниях легких и бронхов
43;A01.09.002;Визуальное исследование при заболеваниях легких и бронхов
44;A01.09.003;Пальпация при заболеваниях легких и бронхов
45;A01.09.004;Перкуссия при заболеваниях легких и бронхов
46;A01.09.005;Аускультация при заболеваниях легких и бронхов
47;A01.10.001;Сбор анамнеза и жалоб при патологии сердца и перикарда
48;A01.10.002;Визуальное исследование при патологии сердца и перикарда
49;A01.10.003;Пальпация при патологии сердца и перикарда
50;A01.10.004;Перкуссия при патологии сердца и перикарда
51;A01.10.005;Аускультация при патологии сердца и перикарда
52;A01.11.001;Сбор анамнеза и жалоб при патологии средостения
53;A01.11.002;Пальпация при патологии средостения
54;A01.11.003;Перкуссия при патологии средостения
55;A01.12.001;Сбор анамнеза и жалоб при сосудистой патологии
56;A01.12.002;Визуальное исследование при сосудистой патологии
57;A01.12.003;Пальпация при сосудистой патологии
58;A01.12.004;Аускультация при сосудистой патологии
59;A01.13.001;Сбор анамнеза и жалоб при микроциркуляторной патологии
60;A01.13.002;Визуальное исследование при микроциркуляторной патологии
61;A01.13.003;Пальпация при микроциркуляторной патологии
62;A01.13.004;Аускультация при микроциркуляторной патологии
63;A01.14.001;Сбор анамнеза и жалоб при заболеваниях печени и желчевыводящих путей
64;A01.14.002;Визуальное исследование при заболеваниях печени и желчевыводящих путей
65;A01.14.003;Пальпация при заболеваниях печени и желчевыводящих путей
66;A01.14.004;Перкуссия при заболеваниях печени и желчевыводящих путей
67;A01.15.001;Сбор анамнеза и жалоб при заболеваниях поджелудочной железы
68;A01.15.002;Визуальное исследование при заболеваниях поджелудочной железы
69;A01.15.003;Пальпация при заболеваниях поджелудочной железы
70;A01.15.004;Перкуссия при заболеваниях поджелудочной железы
71;A01.16.001;Сбор анамнеза и жалоб при заболеваниях пищевода, желудка, двенадцатиперстной кишки
72;A01.16.002;Визуальное исследование при заболеваниях пищевода, желудка, двенадцатиперстной кишки
73;A01.16.003;Пальпация при заболеваниях пищевода, желудка, двенадцатиперстной кишки
74;A01.16.004;Перкуссия при заболеваниях пищевода, желудка, двенадцатиперстной кишки
75;A01.16.005;Аускультация при заболеваниях пищевода, желудка, двенадцатиперстной кишки
76;A01.17.001;Сбор анамнеза и жалоб при заболеваниях тонкой кишки
77;A01.17.002;Визуальное исследование при заболеваниях тонкой кишки
78;A01.17.003;Пальпация при заболеваниях тонкой кишки
79;A01.17.004;Перкуссия при заболеваниях тонкой кишки
80;A01.17.005;Аускультация при заболеваниях тонкой кишки
81;A01.18.001;Сбор анамнеза и жалоб при заболеваниях толстой кишки
82;A01.18.002;Визуальное исследование при заболеваниях толстой кишки
83;A01.18.003;Пальпация при заболеваниях толстой кишки
84;A01.18.004;Перкуссия при заболеваниях толстой кишки
85;A01.18.005;Аускультация при заболеваниях толстой кишки
