ID;CODE;PRIORITY;COMPARING_GROUP
4006;A09.05.018;0.01;101
4007;A09.05.063;0.01;101
4008;A09.05.065;0.01;101
4009;A09.28.003.001;1;101
4010;A09.28.034;0.01;101
4011;A09.28.036;0.01;101
4012;A12.06.011;0.1;101
4013;A12.15.001;0.6;101
4014;A12.28.002;1;101
4015;A26.06.035;0.1;101
4016;A26.06.041;0.1;101
4017;A26.06.048;0.1;101
4018;B03.005.006;1;101
4019;B03.016.003;1;101
4020;B03.016.004;1;101
4021;B03.016.005;0.6;101
4022;B03.016.006;1;101
4023;A02.26.003;1;101
4024;A04.10.002;1;101
4025;A04.12.003;0.5;101
4026;A04.28.001;1;101
4027;A05.10.002;1;101
4028;A05.23.009;0.0;101
4029;A05.30.005;0.0;101
4030;A06.09.007;1;101
4031;A06.30.010;0.5;101
4032;A12.09.005;0.2;101
4033;A12.12.004;1;101
4037;A09.05.063;0.8;102
4038;A09.05.065;0.8;102
4039;B03.005.006;0.8;102
4040;B03.016.003;1;102
4041;B03.016.004;1;102
4042;B03.016.006;1;102
4043;A04.10.002;1;102
4044;A05.10.002;1;102
4045;A05.10.006;1;102
4046;A05.10.008.001;1;102
4047;A06.09.007;1;102
4048;A06.10.003;0.1;102
4049;A12.10.005;0.1;102
4050;A17.10.002.001;0.5;102
4055;A09.05.063;0.8;103
4056;A09.05.065;0.8;103
4057;A09.05.193;0.5;103
4058;B03.016.003;1;103
4059;B03.016.004;1;103
4060;B03.016.005;0.2;103
4061;A04.10.002;1;103
4062;A04.10.002.001;0.05;103
4063;A05.10.002;1;103
4064;A05.10.008.001;1;103
4065;A06.09.007;0.5;103
4066;A06.10.003;0.03;103
4067;A07.10.001;0.05;103
4068;A12.10.005;0.01;103
4076;A09.05.002;1;104
4077;A09.05.021;1;104
4078;A09.05.023;0.5;104
4079;A09.05.026;0.5;104
4080;A09.05.030;0.5;104
4081;A09.05.031;0.5;104
4082;A09.05.054;0.2;104
4083;A09.05.074;0.2;104
4084;A12.06.015;1;104
4085;A12.06.019;1;104
4086;B03.005.006;1;104
4087;B03.016.003;1;104
4088;B03.016.004;0.5;104
4089;B03.016.006;0.5;104
4090;A04.10.002;1;104
4091;A04.12.002.002;0.1;104
4092;A04.12.002.003;0.05;104
4093;A04.12.005;0.1;104
4094;A04.16.001;1;104
4095;A05.10.004;1;104
4096;A05.10.006;1;104
4097;A05.10.008;0.5;104
4098;A05.10.008.001;0.1;104
4099;A06.09.001;1;104
